Gene.Model.ID	Gene.Symbol	Full.Name	Source	Chromosome	Start	End
GRMZM2G061527	mmp9			Chr3	"86,886,156"	"86,888,561"
GRMZM2G061542	mterf2	mTERF protein domain2	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr1	"191,096,212"	"191,098,816"
GRMZM2G061626	umc1220			Chr1	"293,231,711"	"293,232,742"
GRMZM2G061655	umc1449			Chr3	"86,853,242"	"86,854,672"
GRMZM2G061662	IDP2440			Chr1	"293,217,775"	"293,228,618"
GRMZM2G061681	pza01360			Chr3	"225,532,457"	"225,540,553"
GRMZM2G061695	gar1	gibberellin responsive1		Chr3	"219,494,801"	"219,498,659"
GRMZM2G061728	mneap2	Maize Nuclear Envelope-Associated Protein2		Chr10	"86,439,235"	"86,444,161"
GRMZM2G061734	sbp5	SBP-transcription factor 5	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr2	"192,807,845"	"192,812,893"
GRMZM2G061745	pco082032			Chr2	"3,610,614"	"3,614,343"
GRMZM2G061806	hct1	hydroxycinnamoyltransferase1	"Wang et al.,2015"	Chr1	"17,782,100"	"17,783,717"
GRMZM2G061885	pza01735			Chr2	"185,341,447"	"185,347,936"
GRMZM2G061900	ara3	ras-related protein ARA-3		Chr1	"293,212,122"	"293,215,703"
GRMZM2G061906	bhlh118	bHLH-transcription factor 118	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr6	"151,319,278"	"151,321,414"
GRMZM2G061950	anx2	annexin2		Chr5	"208,242,490"	"208,245,487"
GRMZM2G061969	pld2	phospholipase D2	"Chen et al., 2016"	Chr8	"17,391,163"	"17,395,926"
GRMZM2G062009	nactf17	NAC-transcription factor 17	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr4	"142,276,736"	"142,279,162"
GRMZM2G062024	amt4	ammonium transporter4		Chr2	"27,456,158"	"27,492,745"
GRMZM2G062052	pebp19	phosphatidylethanolamine-binding protein	Classical Gene	Chr10	"126,937,360"	"126,941,217"
GRMZM2G062076	umc2257			Chr3	"3,107,471"	"3,112,310"
GRMZM2G062121	umc2274			Chr3	"209,737,061"	"209,737,905"
GRMZM2G062154	tubtf15	TUB-transcription factor 15	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr3	"209,720,836"	"209,725,600"
GRMZM2G062160	mmp174			Chr4	"2,843,218"	"2,844,283"
GRMZM2G062210	fus6	fusca homolog		Chr1	"3,548,036"	"3,558,270"
GRMZM2G062244	hb107	Homeobox-transcription factor 107	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr2	"208,276,499"	"208,277,537"
GRMZM2G062391	bzip98	bZIP-transcription factor 98	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr1	"56,217,970"	"56,223,418"
GRMZM2G062396	fht1	flavanone 3-hydroxylase1	Classical Gene	Chr2	"3,561,475"	"3,563,418"
GRMZM2G062429	dgk7	diacylglycerol kinase7		Chr3	"190,841,468"	"190,848,065"
GRMZM2G062527	gpm109a			Chr6	"142,667,076"	"142,668,318"
GRMZM2G062541	bhlh117	bHLH-transcription factor 117	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr10	"87,704,026"	"87,706,060"
GRMZM2G062559	GRMZM2G062559			Chr2	"45,100,268"	"45,102,857"
GRMZM2G062650	nrp1	no-apical-meristem-related protein1	"assigned by the Grassius project, (Yilmaz et al 2009) to nactf128"	Chr3	"31,805,298"	"31,807,331"
GRMZM2G062657	hagtf29	GNAT-transcription factor 29	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr6	"142,637,425"	"142,646,491"
GRMZM2G062711	tcptf28	TCP-transcription factor 28	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr4	"55,947,182"	"55,947,871"
GRMZM2G062772	ccamk1	calcium/calmodulin dependent protein kinase1	B73_v2 alignment to seqeunce accession DQ403196 (referenced in Ma et al 2012)	Chr4	"201,540,262"	"201,543,535"
GRMZM2G062788	bsd2	bundle sheath defective2	Classical Gene	Chr1	"158,329,236"	"158,340,592"
GRMZM2G062910	mterf26	mTERF-domain protein26	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr7	"149,471,798"	"149,473,953"
GRMZM2G062914	mpk14	MAP kinase14	alignment of DQ295030 and AY105935 to B73_v2	Chr5	"79,898,949"	"79,904,417"
GRMZM2G063048	dvr1	divinyl reductase1	from sequence JX239752.1	Chr1	"59,865,304"	"59,866,740"
GRMZM2G063151	ibp1	initiator binding protein1	from: X79085	Chr9	"140,000,852"	"140,005,166"
GRMZM2G063162	bnl(pho80)	phosphate regulatory homolog1	from: T14681	Chr5	"139,395,266"	"139,403,105"
GRMZM2G063192	cdc201	cell division cycle201	"Zheng et al., 2016"	Chr4	"159,201,602"	"159,204,082"
GRMZM2G063203	thx16	Trihelix-transcription factor 16	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr4	"149,923,554"	"149,927,268"
GRMZM2G063216	wrky16	WRKY-transcription factor 16	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr4	"184,812,978"	"184,816,591"
GRMZM2G063258	glpdh5	glycerol-3-phosphate dehydrogenase5		Chr7	"21,283,001"	"21,287,121"
GRMZM2G063306	ys3	yellow stripe3	"Nozoye et al., 2015; Chan-Rodriguez & Walker, 2018"	Chr3	"112,059,631"	"112,065,432"
GRMZM2G063340	rps12	ribosomal proteinS12 (homolog)	from: EU962633	Chr7	"21,287,558"	"21,290,256"
GRMZM2G063387	e2f6	E2F-DP-transcription factor 26	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr9	"152,941,252"	"152,946,177"
GRMZM2G063522	nactf113	NAC-transcription factor 113	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr5	"43,445,603"	"43,449,974"
GRMZM2G063536	rip1	ribosome-inactivating protein1		Chr8	"108,689,439"	"108,690,609"
GRMZM2G063603	AY110382			Chr9	"150,073,317"	"150,080,434"
GRMZM2G063632	zim7	ZIM-transcription factor 7	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr5	"22,279,974"	"22,282,078"
GRMZM2G063754	AY105479			Chr6	"123,931,291"	"123,934,591"
GRMZM2G063756	bx5	benzoxazinone synthesis5	Classical Gene	Chr4	"3,112,925"	"3,115,501"
GRMZM2G063756	bx5	benzoxazinone synthesis5	from Butron et al 2010	Chr4	"3,112,925"	"3,115,501"
GRMZM2G063851	cts1	citrate synthase1	from: W49861	Chr5	"123,666,786"	"123,673,425"
GRMZM2G063864	alf2	Alfin-like-transcription factor 2	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr5	"174,455,049"	"174,458,989"
GRMZM2G063880	wrky106	WRKY-transcription factor 106	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr8	"71,900,055"	"71,901,434"
GRMZM2G063882	pyl10	pyrabactin resistance-like protein10		Chr5	"141,470,486"	"141,475,175"
GRMZM2G063909	cts3	citrate synthase3		Chr4	"234,339,416"	"234,350,470"
GRMZM2G063917	pal4	phenylalanine ammonia lyase4		Chr4	"143,539,451"	"143,542,437"
GRMZM2G063949	uaz288a(ppi)			Chr3	"132,423,360"	"132,427,549"
GRMZM2G063961	snrkII11	SnRK2 serine threonine protein kinase 11	from sequence EU676042	Chr6	"150,654,910"	"150,660,102"
GRMZM2G064023	cts2	citrate synthase2		Chr4	"234,360,280"	"234,367,429"
GRMZM2G064031	umc1641			Chr3	"227,133,973"	"227,141,739"
GRMZM2G064096	glp1	germin-like protein1	from:  EU958158	Chr6	"123,959,994"	"123,961,169"
GRMZM2G064145	ddt2	DDT-transcription factor 2	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr4	"117,286,975"	"117,292,108"
GRMZM2G064197	glk101	G2-like-transcription factor 1	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr7	"83,167,441"	"83,173,051"
GRMZM2G064212	atg4a	autophagy4a		Chr2	"1,038,241"	"1,042,272"
GRMZM2G064255	gst17	glutathione transferase17		Chr5	"174,453,111"	"174,454,058"
GRMZM2G064302	eno1	enolase1	Classical Gene	Chr9	"22,112,240"	"22,116,928"
GRMZM2G064302	eno1	enolase1		Chr9	"22,112,240"	"22,116,928"
GRMZM2G064328	mybr88	MYB-related-transcription factor 88	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr4	"234,391,361"	"234,395,800"
GRMZM2G064371	abp4	auxin binding protein homolog4	Classical Gene	Chr10	"26,670,823"	"26,673,897"
GRMZM2G064406	tps3	terpene synthase3	from NM_001112385	Chr5	"71,410,033"	"71,413,111"
GRMZM2G064426	cadtfr15	CCAAT-DR1-transcription factor 15	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr8	"117,330,071"	"117,333,930"
GRMZM2G064466	hb100	Homeobox-transcription factor 100	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr1	"82,921,613"	"82,926,989"
GRMZM2G064467	mgt3	magnesium transporter3	"Li et al., 2016"	Chr2	"32,222,808"	"32,227,738"
GRMZM2G064541	nactf66	NAC-transcription factor 66	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr3	"38,053,466"	"38,062,764"
GRMZM2G064628	tcptf18	TCP-transcription factor 18	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr7	"110,809,038"	"110,810,529"
GRMZM2G064630	myb7	MYB-transcription factor 7	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr2	"213,301,143"	"213,305,674"
GRMZM2G064638	bhlh139	bHLH-transcription factor 139	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr5	"140,971,813"	"140,976,844"
GRMZM2G064655	dof34	C2C2-Dof-transcription factor 34	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr2	"203,073,326"	"203,075,231"
GRMZM2G064657	phos4	phosphate transporter4	"Salazar-Vidal et al., 2016"	Chr6	"122,577,593"	"122,582,074"
GRMZM2G064698	cl4283_2a			Chr2	"101,141,313"	"101,142,029"
GRMZM2G064732	ct2	compact plant2	"Bommert, et al. 2013"	Chr1	"16,348,267"	"16,356,203"
GRMZM2G064744	myb27	MYB-transcription factor 27	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr3	"227,482,800"	"227,485,105"
GRMZM2G064750	lrk1	Ser/Thr receptor-like kinase1		Chr8	"9,630,289"	"9,634,061"
GRMZM2G064775	zim29	ZIM-transcription factor 29	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr5	"36,785,899"	"36,787,242"
GRMZM2G064799	sudh1	succinate dehydrogenase1		Chr7	"4,239,369"	"4,244,199"
GRMZM2G064868	cld1	cold regulated protein homolog1		Chr4	"29,145,785"	"29,159,221"
GRMZM2G064896	ccr2	ubiquinol-cytochrome c reductase2		Chr2	"149,136,004"	"149,139,243"
GRMZM2G064936	AI770873			Chr3	"167,726,479"	"167,729,421"
GRMZM2G064993	anx1	annexin1		Chr6	"112,316,067"	"112,319,639"
GRMZM2G065083	phi1	phosphohexose isomerase1	from: U17225	Chr1	"283,156,653"	"283,159,112"
GRMZM2G065154	mate6	multidrug and toxic compound extrusion6	"Guimaraes et al., 2014"	Chr5	"71,724,077"	"71,731,917"
GRMZM2G065205	mcm1	minichromosome maintenance1		Chr1	"147,093,833"	"147,098,733"
GRMZM2G065290	wrky41	WRKY-transcription factor 41	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr3	"184,988,151"	"184,997,449"
GRMZM2G065355	hsbp2	heat shock factor binding protein2	Entrez Gene 100283717	Chr9	"34,805,920"	"34,808,236"
GRMZM2G065374	bhlh47	bHLH-transcription factor 47	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr1	"283,670,986"	"283,676,031"
GRMZM2G065451	sbp20	SBP-transcription factor 20	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr4	"238,318,275"	"238,321,628"
GRMZM2G065478	abi11	ABI3-VP1-transcription factor 11	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr1	"165,089,891"	"165,092,452"
GRMZM2G065494	cas1	cycloartenol synthase1		Chr4	"238,310,811"	"238,319,374"
GRMZM2G065496	abi46	ABI3-VP1-transcription factor 46	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr1	"165,085,207"	"165,088,108"
GRMZM2G065506	gbptf2	GeBP-transcription factor 2	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr5	"131,400,636"	"131,401,747"
GRMZM2G065538	abi13	ABI3-VP1-transcription factor 13	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr8	"152,001,159"	"152,002,001"
GRMZM2G065552	AY110640			Chr1	"44,344,382"	"44,345,273"
GRMZM2G065585	geb1	"glucan endo-1,3-beta-glucosidase homolog1"	"Christensen et al., 2015"	Chr3	"152,010,337"	"152,011,716"
GRMZM2G065599	met6	DNA methyl transferase6	"Li et al., 2014"	Chr8	"129,490,869"	"129,493,053"
GRMZM2G065599	pza03612			Chr8	"129,490,869"	"129,493,053"
GRMZM2G065635	brs1	brassinosteroid synthesis1	aligns to cDNA 	Chr1	"30,536,285"	"30,542,652"
GRMZM2G065829	mybr35	MYB-related-transcription factor 35	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr8	"141,446,174"	"141,448,103"
GRMZM2G065896	zim2	ZIM-transcription factor 2	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr5	"8,462,838"	"8,467,789"
GRMZM2G065928	abh4	abscisic acid 8'-hydroxylase4	aligns to sequence EC904849	Chr7	"126,008,605"	"126,011,545"
GRMZM2G065971	mgt8	magnesium transporter8	"Li et al., 2016"	Chr8	"162,836,382"	"162,842,987"
GRMZM2G066020	zim31	ZIM-transcription factor 31	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr7	"142,622,294"	"142,626,934"
GRMZM2G066024	ald2	aldolase2		Chr8	"162,856,704"	"162,859,417"
GRMZM2G066029	zar4	Zea mays ARGOS4		Chr6	"147,571,950"	"147,572,995"
GRMZM2G066057	bhlh19	bHLH-transcription factor 19	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr8	"8,416,520"	"8,418,397"
GRMZM2G066059	atg10	autophagy10		Chr10	"127,832,805"	"127,834,732"
GRMZM2G066101	mcm4	minichromosome maintenance4		Chr3	"227,500,472"	"227,505,486"
GRMZM2G066120	mkkk11	MAP kinase kinase kinase11	from Kong et al 2013	Chr1	"37,470,728"	"37,476,121"
GRMZM2G066153	GRMZM2G066153			Chr6	"150,930,474"	"150,933,485"
GRMZM2G066158	ereb93	AP2-EREBP-transcription factor 93	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr8	"120,401,709"	"120,402,944"
GRMZM2G066191	tub4	beta tubulin4	Classical Gene	Chr5	"14,869,913"	"14,874,139"
GRMZM2G066222	rps27	ribosomal protein S27		Chr4	"218,054,500"	"218,057,037"
GRMZM2G066326	ccp5	cysteine protease5	alignment to cDNAs	Chr6	"39,529,235"	"39,530,882"
GRMZM2G066345	tar2	tryptophan aminotransferase related2		Chr3	"12,650,515"	"12,654,190"
GRMZM2G066369	gst38	glutathione transferase38		Chr1	"81,649,181"	"81,650,653"
GRMZM2G066373	gbptf4	GeBP-transcription factor 4	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr9	"8,465,318"	"8,474,373"
GRMZM2G066460	arpp0	60S acidic ribosomal protein P0	from: Y07959	Chr6	"9,206,517"	"9,209,074"
GRMZM2G066485	pld13	phospholipase D13	"Chen et al., 2016"	Chr6	"138,879,310"	"138,901,971"
GRMZM2G066528	hmg13	HMG-transcription factor 13	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr7	"146,931,998"	"146,933,950"
GRMZM2G066734	bzip77	bZIP-transcription factor 77	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr9	"135,645,489"	"135,646,430"
GRMZM2G066749	dek35	defective kernel35	"Chen et al., 2016"	Chr1	"267,973,485"	"267,976,040"
GRMZM2G066860	pdlp1	plasmodesmatal located protein1	from Cell Genomics Project (Oct 20130	Chr1	"8,877,557"	"8,880,470"
GRMZM2G066867	snrkII10	SnRK2 serine threonine kinase10	from sequence EU676041	Chr5	"18,469,442"	"18,472,522"
GRMZM2G066870	pmpm8	proteolipid membrane potential regulator8	"aligns to sequence in Fu et al 2012, and to sequence accession EU971491"	Chr3	"49,118,179"	"49,119,770"
GRMZM2G067063	pdi12	protein disulfide isomerase12		Chr2	"204,369,552"	"204,379,182"
GRMZM2G067080	gpm734			Chr8	"83,586,988"	"83,591,490"
GRMZM2G067171	gata31	C2C2-GATA-transcription factor 31	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr3	"141,471,190"	"141,473,058"
GRMZM2G067176	vp10	viviparous10	Classical Gene	Chr10	"146,104,115"	"146,108,434"
GRMZM2G067225	aos1	allene oxide synthase1	Christensen et al.2015	Chr9	"145,603,968"	"145,606,347"
GRMZM2G067303	rps22a	ribosomal protein S22 homolog		Chr9	"142,752,102"	"142,755,422"
GRMZM2G067315	umc1955			Chr1	"235,968,685"	"235,970,191"
GRMZM2G067371	bnl9.11b(lts)			Chr1	"73,517,191"	"73,520,282"
GRMZM2G067376	ofp33	OVATE-transcription factor 33	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr8	"91,371,796"	"91,372,796"
GRMZM2G067402	hb1	hemoglobin1	aligns to cDNA AF236080	Chr9	"145,596,856"	"145,598,153"
GRMZM2G067463	ereb45	AP2-EREBP-transcription factor 45	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr2	"4,352,876"	"4,353,499"
GRMZM2G067511	cal2	calmodulin2	Classical Gene	Chr3	"38,428,315"	"38,432,905"
GRMZM2G067546	vacs1	vacuolar sorting receptor homolog1	Classical Gene	Chr9	"131,423,638"	"131,431,860"
GRMZM2G067591	cyp22	cytochrome P-450 22		Chr5	"32,634,768"	"32,636,748"
GRMZM2G067601	phm15278			Chr8	"156,263,468"	"156,265,092"
GRMZM2G067624	sbp29	SBP-transcription factor 29	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr7	"151,254,398"	"151,256,086"
GRMZM2G067654	bhlh10	bHLH-transcription factor 10	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr9	"12,986,561"	"12,988,736"
GRMZM2G067702	glk56	G2-like-transcription factor 56	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr8	"156,260,024"	"156,261,399"
GRMZM2G067743	grftf12	GRF-transcription factor 12	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr9	"9,818,084"	"9,819,919"
GRMZM2G067919	glb1	globulin1	Classical Gene	Chr1	"258,423,143"	"258,426,448"
GRMZM2G067921	dlf1	delayed flowering1	Classical Gene	Chr7	"175,583,965"	"175,585,451"
GRMZM2G068028	pza02957			Chr1	"282,860,846"	"282,864,657"
GRMZM2G068117	AY106825			Chr1	"293,700,005"	"293,704,720"
GRMZM2G068202	umc2186		"Noonan et al., 2017"	Chr2	"1,957,113"	"1,958,008"
GRMZM2G068212	sfp7	sulfate transporter7		Chr2	"162,036,805"	"162,097,479"
GRMZM2G068217	ein2	ethylene insensitive 2	from: AY359584	Chr3	"2,874,629"	"2,881,174"
GRMZM2G068220	nbcs8	nucleobase:cation symporter8		Chr2	"219,606,894"	"219,608,924"
GRMZM2G068259	AY110452			Chr1	"262,219,645"	"262,230,412"
GRMZM2G068259	pza01921			Chr1	"262,219,645"	"262,230,412"
GRMZM2G068330	zhd1	ZF-HD-transcription factor 1	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr4	"11,278,503"	"11,281,332"
GRMZM2G068331	phd28	PHD-transcription factor 28	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr4	"10,235,511"	"10,240,157"
GRMZM2G068462	mterf29	mTERF-domain protein29	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr8	"149,784,489"	"149,785,027"
GRMZM2G068465	csu25b(P450)			Chr10	"3,065,600"	"3,069,726"
GRMZM2G068476	c3h51	C3H-transcription factor 351	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr1	"262,230,777"	"262,236,243"
GRMZM2G068506	bt2	brittle endosperm2	Classical Gene	Chr4	"58,979,526"	"58,985,686"
GRMZM2G068506	bt2	brittle endosperm2		Chr4	"58,979,526"	"58,985,686"
GRMZM2G068557	fro2	ferric-chelate reductase2		Chr2	"46,785,444"	"46,790,374"
GRMZM2G068586	tubtf1	TUB-transcription factor 1	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr8	"149,813,540"	"149,818,967"
GRMZM2G068604	bhlh115	bHLH-transcription factor 115	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr1	"178,455,867"	"178,460,697"
GRMZM2G068672	hb60	Homeobox-transcription factor 60	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr6	"70,173,601"	"70,175,049"
GRMZM2G068710	cchh35	Cys2His2 Zinc Finger35	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr10	"10,140,592"	"10,148,973"
GRMZM2G068808	cpps3	copalyl diphosphate synthase3	from: CF634281	Chr10	"75,822,918"	"75,828,439"
GRMZM2G068913	hex4	hexokinase4	"Zhou et al., 2014; Zhang et al., 2014"	Chr3	"152,214,617"	"152,221,102"
GRMZM2G068943	trps1	trehalose-6-phosphate synthase1	"from EU659122  & Zhou et al., 2013"	Chr8	"123,130,508"	"123,138,783"
GRMZM2G068947	opr6	12-oxo-phytodienoic acid reductase6	from B73_V2 alignment to cDNA AY921643	Chr3	"69,859,514"	"69,861,831"
GRMZM2G068967	ereb97	AP2-EREBP-transcription factor 97	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr2	"10,793,567"	"10,794,323"
GRMZM2G068973	nactf23	NAC-transcription factor 23	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr8	"170,415,625"	"170,417,408"
GRMZM2G069009	c3h12	C3H-transcription factor 312	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr3	"36,833,446"	"36,838,605"
GRMZM2G069028	ns1	narrow sheath1	Classical Gene	Chr2	"143,166,134"	"143,168,172"
GRMZM2G069047	nactf115	NAC-transcription factor 115	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr4	"38,060,800"	"38,063,263"
GRMZM2G069061	umc1404			Chr3	"202,212,384"	"202,221,141"
GRMZM2G069082	ereb36	AP2-EREBP-transcription factor 36	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr7	"141,162,777"	"141,163,747"
GRMZM2G069126	ereb23	AP2-EREBP-transcription factor 23	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr7	"141,170,323"	"141,171,382"
GRMZM2G069146	ereb115	AP2-EREBP-transcription factor 115	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr7	"141,174,421"	"141,175,245"
GRMZM2G069177	atg18c	autophagy18c		Chr3	"13,319,540"	"13,323,979"
GRMZM2G069198	nrat1	nramp aluminum transporter1	"Guimaraes et al., 2014"	Chr5	"43,175,325"	"43,180,945"
GRMZM2G069203	sat1	serine acetyltransferase1	from: AF453837	Chr8	"155,020,473"	"155,021,850"
GRMZM2G069218	umc1500			Chr1	"285,603,499"	"285,608,445"
GRMZM2G069254	mbd120	methyl binding domain120	from AY029556 (chr 6 hit)	Chr6	"146,224,513"	"146,226,056"
GRMZM2G069260	npi414a			Chr8	"169,336,134"	"169,340,170"
GRMZM2G069274	wox13a	WUSCHEL-related homeobox-transcription factor 13a	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr3	"185,489,797"	"185,493,650"
GRMZM2G069298	fls2	flavonol synthase2	"Falcone-Ferreyra et al., 2012"	Chr5	"210,154,373"	"210,155,706"
GRMZM2G069325	myb130	MYB-transcription factor 130	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr6	"163,187,174"	"163,188,702"
GRMZM2G069365	zhd17	ZF-HD-transcription factor 17	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr4	"160,153,804"	"160,155,930"
GRMZM2G069370	mads30	MADS-transcription factor 30	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr10	"119,044,582"	"119,046,541"
GRMZM2G069382	rp1	resistance to Puccinia sorghi1		Chr10	"3,571,990"	"3,590,706"
GRMZM2G069389	umc2021			Chr10	"147,366,969"	"147,369,460"
GRMZM2G069486	bzr5	BZR-transcription factor 5	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr4	"239,624,836"	"239,636,828"
GRMZM2G069525	glk37	G2-like-transcription factor 37	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr2	"17,494,663"	"17,498,413"
GRMZM2G069542	pep2	phosphoenolpyruvate carboxylase2	from: BT085108	Chr5	"144,847,481"	"144,855,080"
GRMZM2G069618	umc1849			Chr1	"56,894,719"	"56,897,083"
GRMZM2G069676	AY106170			Chr7	"41,746,480"	"41,810,114"
GRMZM2G069694	umc2272			Chr3	"197,351,586"	"197,353,455"
GRMZM2G069762	mch2	maize CRY1 homolog2		Chr4	"108,571,396"	"108,574,204"
GRMZM2G069773	phm13360			Chr2	"111,452,832"	"111,456,698"
GRMZM2G069886	hac101a			Chr3	"114,453,896"	"114,464,073"
GRMZM2G069911	AY109570			Chr9	"23,826,467"	"23,827,831"
GRMZM2G070011	AY110253			Chr4	"15,320,600"	"15,322,087"
GRMZM2G070034	mads76	MADS-transcription factor 76	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr9	"125,606,160"	"125,639,409"
GRMZM2G070045	gpm874b		note ambiguous identity	Chr5	"207,758,143"	"207,780,399"
GRMZM2G070047	uce3	ubiquitin conjugating enzyme3	from: U49913	Chr1	"4,974,957"	"4,978,299"
GRMZM2G070087	pht9	phosphate transporter protein9		Chr1	"11,209,543"	"11,211,528"
GRMZM2G070092	lox7	lipoxygenase7	from: DQ335765	Chr10	"120,237,308"	"120,241,527"
GRMZM2G070192	cle22	clavata3/esr-related22	"Je et al., 2016"	Chr6	"158,463,657"	"158,465,175"
GRMZM2G070211	wrky102	WRKY-transcription factor 102	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr1	"253,562,148"	"253,565,268"
GRMZM2G070271	umc2230			Chr1	"103,272,931"	"103,324,927"
GRMZM2G070273	kcbp1	kinesin-like calmodulin binding protein1	from: XM_008670512	Chr2	"3,067,260"	"3,076,483"
GRMZM2G070287	pco118092			Chr2	"3,077,126"	"3,077,915"
GRMZM2G070295	platz9	PLATZ-transcription factor 9	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr5	"95,257,993"	"95,259,419"
GRMZM2G070304	ms33	male sterile33		Chr2	"231,664,302"	"231,666,462"
GRMZM2G070360	dba2	DNA binding activity2	from: EU959295	Chr3	"212,237,694"	"212,247,053"
GRMZM2G070371	gras14	GRAS-transcription factor 14	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr2	"231,610,740"	"231,612,552"
GRMZM2G070381	ppr78	pentatricopeptide repeat78		Chr1	"287,665,005"	"287,667,939"
GRMZM2G070389	pco118092			Chr2	"3,082,367"	"3,086,726"
GRMZM2G070446	dbb8	double B-box zinc finger protein8	"Li et al., 2017"	Chr6	"74,621,148"	"74,626,420"
GRMZM2G070508	cyp25	cytochrome P-450 25		Chr4	"230,384,824"	"230,387,143"
GRMZM2G070523	myb129	MYB-transcription factor 129	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr5	"20,219,035"	"20,221,972"
GRMZM2G070523	pza03226			Chr5	"20,219,035"	"20,221,972"
GRMZM2G070523	pza03274			Chr5	"20,219,035"	"20,221,972"
GRMZM2G070639	pza02457			Chr4	"29,197,166"	"29,201,100"
GRMZM2G070659	hir3	hypersensitive induced reaction3		Chr6	"167,774,457"	"167,777,264"
GRMZM2G070780	uaz24a			Chr10	"81,970,724"	"81,973,407"
GRMZM2G070849	myb75	MYB-transcription factor 75	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr1	"51,395,397"	"51,397,668"
